Tweet,Cólera,Tristeza,NoEmocion,Felicidad,Sorpresa,Miedo,Asco
@ALEX15vs @FCBarcelona_es @FCBarcelona Coño sin ampliar parecía un preso,0.0,0.0,1.0,0.0,0.0,0.0,0.0
@SirDave_ @babyidontneeddo @AstroAndaSuelto @As_TomasRoncero Y 2014? No hablemos de ayudas arbitrales que la famosa remonta del barça al psg telita co  2 penaltis que sólo vio el árbitro y lo 6 penaltis que no pito obrevo en stamford bridge ah no espera que eso no cuenta no? Cállate gilipollas!!!,1.0,0.0,0.0,0.0,0.0,0.0,0.0
re imaginaria su liga aguante el BARÇA hdp https://t.co/KuN22l7WUY,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@elpezdeciudad Claro, no es jugador del Barça. Lo que hizo en Valencia y por lo que lo trajeron no lo puede mostrar porque no es su estilo y no se adaptó. Quizá en otro equipo como la Juventus se adapte. Lo defienden por ser del club, pero preferiría ver a Denis jugando en su lugar",0.0,0.5,0.5,0.0,0.0,0.0,0.0
@Todo_atleti mas vale que lo haga en los partidos que es donde vale,0.5,0.0,0.5,0.0,0.0,0.0,0.0
"Desde la dirección hasta los actores el vídeo de The less i know the better está hecho por catalanes. Visca Barça, joder.",0.0,0.0,0.0,1.0,0.0,0.0,0.0
"@APUESTASMLS @gran_culon @Zona_Blaugrana Entonces..esto,es por el Barça..no esta hablando del Alibaba Bernabéu..no? Aunque ponga Madrid..esta hablando del FCB!?🤔
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂jajajajaja jajajajaja https://t.co/YOSyKSI28g",0.0,0.0,0.0,1.0,0.0,0.0,0.0
@sport Y el barca que haria sin Messi????? Ni rotaciones le pueden dar.,0.0,0.0,0.5,0.0,0.0,0.5,0.0
Me ha gustado un vídeo de @YouTube (https://t.co/uwZhvI4GtG - EL DIRECTO EN EL QUE DjMaRiiO USÓ LA CAMISETA DEL BARÇA).,0.0,0.0,0.0,1.0,0.0,0.0,0.0
@cofitin El Atleti? O Emery?. Los primeros esperando que tiren a puerta. El segundo estara sin equipo. O en el Almeria o Lorca.,0.5,0.0,0.5,0.0,0.0,0.0,0.0
@skooldaze_ entonces por qué lo llamas realmadridización? si como tú mismo reconoces es algo que el barca ha hecho igual históricamente,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"@abc_es Eso ha sido obra del Dúo que dirige al @atleti, al ver el fracaso en las ventas de las camisetas con el logo",0.5,0.0,0.0,0.0,0.0,0.0,0.5
"⚽ El valler César Ferrando és el nou entrenador de @cfnucia. Anteriorment ha entrenat a @Atleti @AlbaceteBPSAD @Academia_VCF @GandiaCF i, com no, @UETavernes. Competirà contra altre ilustre valler que ocupa la banqueta del @SillaCF: Ximo Enguix. #ValldignaEsports https://t.co/AwmNQwDYuT",0.0,0.0,1.0,0.0,0.0,0.0,0.0
"EL DOMINGO VIAJAMOS para ver a nuestro @Atleti 

Salimos a las 12, ¿te quieres venir?

Cuenca -&gt; Madrid y plaza en el @Metropolitano 

¡Escríbenos hoy o mañana para apuntarte!

Mañana también vamos pero... ¡EL AUTOBÚS YA ESTÁ LLENO!

#AtletiLokomotiv",0.0,0.0,0.5,0.5,0.0,0.0,0.0
"@LuisOmarTapia @IkerCasillas @ChampionsLeague el casillas que siempre salía goleado por el Barça, de eso no te acuerdas pinche canoso",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@Seezzzy et KDB a dit ""Faites la meme contre le Barca"" mdrr",0.0,0.0,1.0,0.0,0.0,0.0,0.0
@pblmrcn Jajajaja y eso que soy del Barça... pero 👌🏼,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MERCADO | Los tres jugadores del Barça que Mourinho pretende fichar en verano - https://t.co/neJanOZYMP https://t.co/KPZGQT2pAu,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"¡OFICIAL!

#Juan #Cazares 🇪🇨 renueva con el #Atlético #Mineiro 🇧🇷 #FichajesYa 👁‍🗨

Mira la noticia completa aquí 👇
https://t.co/cGOGXtfchD",0.0,0.0,0.5,0.5,0.0,0.0,0.0
"La ""rajada"" de un ex objetivo del Barça sobre Emery y el jeque https://t.co/nd6aEvKL0N",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@LuisOmarTapia Y con él barca gano lo que quiso papi, salió del closet un madridista frustrado y anciano.",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@jorgeshrug El barça siempre ha fichado caro y batido records (Maradona, Ronaldo etc) esto es normal cuando hay que revolucionar una plantilla. Lo que yo critico es haber destrozado la cantera y los Digne por 20, Gomes por 50 etc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"@AS_Manolete Usted habla de City, Barça, Juve o Tottenham que todavía no han conseguido su pase, y su soberbia considera que van a pasar los 4, que osado, usted es anti-madridista y eso es una enfermedad.",0.5,0.0,0.0,0.0,0.0,0.0,0.5
@AndresValenzGT jajaja cabal yo le voy al barça y juegan hasta la otra semana,0.0,0.0,0.5,0.5,0.0,0.0,0.0
"No soy Madridista, le voy al Barça (ojo y no es que soy el maaaas futbolero), pero entre meses de análisis y mi trabajo nuevo (que tiene una sección heavy de deportes) llegué a la conclusión (muy a mi pesar) de que si, Cristiano Ronaldo es el mejor jugador del mundo.",0.0,0.0,0.5,0.5,0.0,0.0,0.0
"@memedeportes Para que eso se cumpla, tiene que jugar en el Barça primero",0.0,0.0,1.0,0.0,0.0,0.0,0.0
"@sport Es en serio esto?  Hay que analizar un partido del Barsa sin Messi y uno del Madrid sin Cristiano,  el Madrid seguro funciona, el Barca se estanca.",0.0,0.0,0.5,0.0,0.5,0.0,0.0
"@ElGolazoDeGol @David74Sanchez @rodrigo_marciel @JaimeRodrigC Resulta que el partido lo perdió el PSG por la ausencia de Neymar,!!, si jugó en el partido devida y el Madrid ganó 3-1 ,...a no ser que no fue Neymar fue su hermana la que jugó...manda huevos , programa apesta antimadridimo !
...Dejar de falsedades y hablar del Barça y messi 👎",0.5,0.0,0.0,0.0,0.5,0.0,0.0
Mucho Barça y femenino. Como me gusta aprender cosas nuevas. Moltes gràcies.🤩 Entrevista a Jordi Mestre.👉🏻 https://t.co/BM1nBcf9wM https://t.co/MaLoOhoSGZ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"@Univ_Deportivo @El_Universal_Mx Yo nomás veo q rompe y rompe records y aun así los medios “serios”, solo se la maman a Messi y al Barça, por que será??? 🤔🤔🤔🤑🤔",0.5,0.0,0.0,0.0,0.5,0.0,0.0
@antimadridiota @_Moroncito_ Solo te falta decir que el Barça mereció ganar la Champions 😂,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"2.- Correspondencia de un náufrago. Jugamos todos o no juega nadie, por @ibenedettip / 3.- Las conmociones cerebrales en el fútbol, por @iLoles / 4.- Grandes maestros: Laureano Ruiz, el abuelo del Barça, por @martiperarnau https://t.co/i7rqS0ltsK",0.0,0.0,1.0,0.0,0.0,0.0,0.0
"EN VIVO: ""En la Barca de Pedro"", por la #933FM, sintonizarlo todos los miércoles de 11:00am a… https://t.co/1Qfmjbxm52",0.0,0.0,1.0,0.0,0.0,0.0,0.0
Barça y Espanyol luchan por adelantarse en el palmarés de la Supercopa de Catalunya https://t.co/6cdgsOlx8k,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LO QUIERE FUERA https://t.co/AnRgAgianZ,0.5,0.0,0.5,0.0,0.0,0.0,0.0
"@darf_14 Ahora hay una campaña por defender a André de como si fuera el mismo Xavi. ¡Por favor! Que se largue. No es un jugador para el Barça. Eventualmente anotará, o le dará una asistencia a Messi. Pero seguro hay algo mejor por la mitad de lo que él costó, o echar mano de la Masía.",0.5,0.0,0.0,0.0,0.0,0.0,0.5
"@ociregul @scastle1977 A mí no me da vergüenza que sea del Atleti, me da vergüenza ajena él... Pobre diablo",0.5,0.0,0.0,0.0,0.0,0.0,0.5
"@SC_ESPN El partidazo que se mandó contra el Barça, y que casi clava ese gol de tiro libre y que Valdez le sacó",0.0,0.0,0.0,0.5,0.5,0.0,0.0
Roban en la tienda oficial del @Atleti en el Metropolitano https://t.co/iwPXPA39LP vía @hoyextremadura,0.0,0.5,0.5,0.0,0.0,0.0,0.0
( Atletico_md ) La brutal exhibición de Koke en el rondo del entrenamiento https://t.co/16wKDiElVd #Atleti,0.0,0.0,0.0,0.5,0.5,0.0,0.0
"Se le viene Real Madrid, Barça o Bayern Munich y el tipo ya está sacando su paraguas de una vez..  Sabe mi tipo. https://t.co/7455Y4YA7d",0.0,0.0,1.0,0.0,0.0,0.0,0.0
"¡¡Le robaron al @Atleti!!

Se metieron a una tienda del @Metropolitano como si fuera película de acción 😱
https://t.co/oyx5r0Fq4S",0.0,0.0,0.0,0.0,0.5,0.5,0.0
@FCBarcelona El mejor del mundo👌😎,0.0,0.0,0.0,1.0,0.0,0.0,0.0
@FutSinC Eso parece el barca ya,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"@alexcruzrod @johnhahumada @LuisOmarTapia Otro Madridista , a ver , en el Bayern hizo lo que no pudo Ancceloti , en el Barca ganó todo , y en el Citi con su mejor liga de la historia . Si solo fuera cuestión de dinero Emery habría eliminado al Madrid .",0.0,0.0,1.0,0.0,0.0,0.0,0.0
@NostradamusFCB @janescorrea @Cerdido_ A este Dios de este competicion quitas sus actuaciones contra el Bayern en el Bernabeu (2 goles en fdj y contra el Atleti 1 en fdj) y ves que en su carrera solo determino contra el Wolfsburg..,0.0,0.0,0.5,0.0,0.0,0.0,0.5
"Los cuartos de final de esta champions van a estar bellos, tengo 4 opcionados al título Barça, Madrid, Bayern y City, pero ojo con Tottenham y Liverpool",0.0,0.0,0.0,1.0,0.0,0.0,0.0
#Atleti #colchonero Estrellan un coche en la tienda del Wanda y la desvalijan https://t.co/e0j3jNEMAu,0.0,0.5,0.5,0.0,0.0,0.0,0.0
"Hace 17 años, Messi por primera vez se puso la del Barça https://t.co/ZjI27VAsm5 24/7 #Noticias #SLP https://t.co/NrpWwuB2By",0.0,0.0,1.0,0.0,0.0,0.0,0.0
"@SeleccionArg 
#JavierMascherano sobre #Messi en @Sportia:
""Es el jugador más cerca de la excelencia ha estado en este deporte""
@TyCSports https://t.co/MqUNMaE6xJ",0.0,0.0,0.5,0.5,0.0,0.0,0.0
"@garcijarvar y @scastle1977 no os da un poco de vergüenza que este señor sea del Atleti? a mi me pasa lo mismo con Roncero, periodistas... https://t.co/g94C4ofMXa",0.0,0.0,0.0,0.0,0.0,0.0,1.0
@davogarsa @gabrielviveros les contaras algún día a tus nietos que viviste la era de este fenómeno! #messi https://t.co/dMNTIeu0DI,0.0,0.0,0.0,1.0,0.0,0.0,0.0
@santicanizares O siempre que cada jugador del Barça no tape los nuevos huecos de la barrera que dejen los jugadores del Atlético no?,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Qué maravilla que este chico tocado por Dios, juegue en el Barça! Toda la historia que ha hecho Leo y toda la que le falta! EL MEJOR DE LA HISTORIA! https://t.co/WwnQZBVNvX",0.0,0.0,0.0,1.0,0.0,0.0,0.0
Las redes estallan contra @DaniAlvesD2 por una frase sobre el @PSG_inside https://t.co/m6xizliuy8 #FCBLive #FCB #Barca #UCL https://t.co/eKbSnNwnrr,0.5,0.0,0.5,0.0,0.0,0.0,0.0
@Futbolman10 Leí en un portal BR que había paso reconocimiento médico si es problema  de dinero el Barça y sus errores negociando es algo lógico que Gremio te vaya a pedir parte del pago ahora para amarrar su negocio dejar tirado a un jugador que a dicho abiertamente que quiere ir al Barça,0.0,0.0,1.0,0.0,0.0,0.0,0.0
@putotrolaso @swivelFCB @LluisMascaro @sport Porqee el Barça regaló la liga en Septiembre y pudisteis gestionar la ventaja sin agobios XD,0.0,0.0,0.5,0.5,0.0,0.0,0.0
"🏠 PSG: ⚽️
✈️ PSG: ⚽️⚽️
🏠 BVB: ⚽️
✈️ Apoel: ⚽️⚽️
✈️ Spurs: ⚽️
🏠 Spurs: ⚽️
✈️ BVB: ⚽️⚽️
🏠 Apoel: ⚽️⚽️
🏆 Juve: ⚽️⚽️
✈️ Atleti: ❌
🏠 Atleti: ⚽️⚽️⚽️
🏠 Bayern: ⚽️⚽️⚽️
✈️ Bayern: ⚽️⚽️ https://t.co/7hwegYqdj5",0.0,0.0,1.0,0.0,0.0,0.0,0.0
@bezares24 Y cada vez que preguntaba el Barça por Marquinhos pedían 70 kilos!! Que poca vergüenza 😂😂😂😂,0.5,0.0,0.0,0.0,0.5,0.0,0.0
"@partidazocope @RodrigoFaez Y el Puta Barça, puta Cataluña o Messi subnormal que ?
Eso si se puede cantar no ????
A la mierda coño !!!!!",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@HectorBellerin no estaría a gusto en el @Arsenal. ¿Oportunidad para el @FCBarcelona?
https://t.co/pcDVJxY1tP https://t.co/RNnky7QwRZ",0.0,0.0,1.0,0.0,0.0,0.0,0.0
@bet365_es Un Madrid vs Barça pero este año los dos equipos que tienen mejor pinta son Manchester City y Barça,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"@ElGolazoDeGol Que os pasa?, el Madrid no tuvo ningun merito o que ? ,,,que hace un fanático del barça valorando el partido ? , pandilla de culés todos ...",0.0,0.0,0.0,0.0,1.0,0.0,0.0
"M. Bartra debió quedarse en el Barcelona, una promesa junto a Piqué en la defensa, si bien es cierto la defensa del Barcelona anda muy bien, él se jugaba todo en cada partido. @MarcBartra @FCBarcelona @FCBarcelona_es es una pena que esté de equipo en equipo, ahora en el Betis😐",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"@CristoS092 Lo bueno es q fue expulsado, ese ejemplo a tus chavales les vendra bien. Accion-reaccion. Que no vean partidos del Barça, q con Luis Suarez no ocurre lo mismo.",0.0,0.0,0.5,0.5,0.0,0.0,0.0
"@NatachaPena Siempre se ha manejado como un técnico de media tabla y un poquito más, le quedan grande los equipos élites. Y que decir del PSG, vaya papelon, 400 millones para ser equipo candidato y quedarse en unos 4tos de final. Ay Neyyyyy pa que te fuiste del barça. 🤦🏻‍♂️",0.0,1.0,0.0,0.0,0.0,0.0,0.0
@mauriciopedroza el travesti cuando juega contra el Barça se arruga y Messi lo deja de rodillas,0.0,0.0,0.5,0.0,0.0,0.0,0.5
"@ferpulpillo Tal vez estos equipos habrían podido ponerles en apuros de otra forma, por su juego, pero Madrid o Barça les han petrificado por su presencia. Este PSG ha competido bien ante equipos como Chelsea. Ante el Madrid el miedo en el centro del campo era visible, nadie arriesgaba",0.0,0.0,0.0,0.0,0.0,1.0,0.0
@LeoKawsar10 @SPN_Football Barca,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Desde la llegada de Nasser Al-Khelaifi al PSG 🇨🇵 ha gastado US$ 1.156 millones 💸 todo para ganar champions 🏆
No pasó 4tos.

13/14 vs Barca ❌
14/15 vs Chelsea ❌
15/16 vs Man City ❌
16/17 vs Barca ❌
17/18 vs R. Madrid ❌

#Fail https://t.co/ZzMuNNs6tW",0.0,0.0,1.0,0.0,0.0,0.0,0.0
@_SentimentCule Lamentable.Debemos estar orgullosos de nuestro barca que suda la camiseta toda la temporada en todas las competiciones.Grandes.,0.0,0.0,0.0,1.0,0.0,0.0,0.0
@DjMaRiiO_90 Que como no ganen la champions se van a la mierda por payasos.@Atleti el mejor equipo del mundo. Puto @realmadrid,0.0,0.0,0.0,0.0,0.0,0.0,1.0
@Footy_Jokes anyone in a match against barca,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A ver si encontráis algún tweet así a favor del Barça y me calláis la boca cuando digo que este señor es un puto cáncer para el fútbol y un trozo de mierda https://t.co/Vsf6aV5Dqz,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"@AngelVikingo @dircomPedro Y tu que te llamas angelvikingo siendo del Barça, eso sí que es raro 😂😂😂😂😂.",0.0,0.0,0.0,0.0,1.0,0.0,0.0
"@AndresBlanco73 Una vez más, pero Zidane lo prefiere, no confía en el que anotó el gol que decidió la décima, en el que dejó a Bartra detenido en el tiempo para darle otra Copa del Rey al Madrid ante el Barça, en el que le dio el pase a la final de Milan con el único gol ante el Man City",0.0,0.0,0.0,0.0,1.0,0.0,0.0
@rafapuente_espn si se encuentra al Barça hasta ahí llega... saludos rafa,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Please RT!! #barcelona #fcbarcelona #Barca #fcb    Márquez: ?Viendo el vestuario del Barça, lo entiendes.. https://t.co/nxblwP9y94 https://t.co/jBANSszGa1",0.0,0.0,1.0,0.0,0.0,0.0,0.0
Please RT!! #atleti #atletico #ATM  Atlético de Madrid - Lokomotiv Moscú: Horario y dónde ver el partido. https://t.co/dKeC8zOBYW https://t.co/v1UlHUmuaG,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Barça. https://t.co/gODgMhub9A,0.0,0.0,1.0,0.0,0.0,0.0,0.0
@jotajordi13 Si..pero la liga y la copa os comeis un mojon como una catedral y cuando os coja el barça...set en blanco😂😂😂😂😂,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"@ruben4roses_atm @imaetxega Que Robin ni que niño muerto, si nosotros no decimos nada. Sois vosotros y vuestra obsesión por el Madrid para variar. Ya se que te fijas en theo o vini jajaja solo haceis eso,  mirarnos sin parar. Este año no se , pero los dos anterirores gasto mas el atleti en fichajes",1.0,0.0,0.0,0.0,0.0,0.0,0.0
@nacholopez79 @Futbol_Flchaje @Futbool_Cracks Messi sabe que sin el barca no es nadie. No tuvo ni tendra cojones de dejar el barca y demostrar algo en otro equipo.,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Me sorprende la absurdez del fanatismo que hay en el mundo del fútbol. Es ver a Tomás Roncero llorar por gilipolleces, chillar cuando su querido Cristiano hace gilipolleces o cuando el Barça pierde (pocas veces se ha visto eso) y me entran ganas de ver aún menos el fútbol xd.",0.0,0.5,0.0,0.0,0.0,0.0,0.5
@SEUR @LNFS89 Si jugaras en el cielo moriría por verte! #ForçaBarça,0.0,0.0,0.0,1.0,0.0,0.0,0.0
@Mirkovotava2 @Atleti Yo no me abono,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"@juliup7 Really ? El Espanyol nos ganó. 🙄🙄
Este año lo veo apretado, el City, Bayern, Barca, Tottenham nos hizo canto ya una vez. Hay equipos fuertes en vdd. Lo veo difícil ojalá y me equivoque",0.0,0.0,0.0,0.0,0.0,1.0,0.0
@Chrisanuvis @FCBarcelona_es @FCBarcelona Tienes razón.👍,0.0,0.0,1.0,0.0,0.0,0.0,0.0
La 'rajada' de un ex objetivo del Barça sobre Emery y el jeque https://t.co/wBKn3UVrFd  #fcb #fcblive #barca https://t.co/CxEQh0CzEA,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@Atletico1012 @TheRealGansuuss En dias como hoy te das cuenta porque el R. Madrid es el Rey de Europa, mientras que el Atleti y su afición no pasa de ser un equipo mediocre y segundón.",0.0,0.0,0.0,0.5,0.0,0.0,0.5
"Hace 17 años, #Messi inició su camino con el @FCBarcelona
https://t.co/9TSP6Esn49 https://t.co/yOGOjncYXV",0.0,0.0,1.0,0.0,0.0,0.0,0.0
"@jmdelalamo No me gusta el futbol, y el Barça tampoco. Pero pregunto: porque son todo hombres? No debería de haber equipos 50/50? Espera...y los LGTB? ...25/25/25/25? Espera....y animales? Vamos, no se...",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Neymar se fue al PSG en busca de “títulos”, sin valorar grandeza del Barça y de su afición. Faltó al respeto y jugó con las ilusiones de la gente y ahora, 6 meses después de su marcha, está en el lugar que merece. El tiempo siempre pone a cada uno en su lugar💰 https://t.co/teeLdFcMat",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"@ALEX15vs @FCBarcelona_es @FCBarcelona Que noooo, así nos saca unas risas 😅😅😅",0.0,0.0,0.0,1.0,0.0,0.0,0.0
"@SantiagoSty Creo q  ustedes son del Madrid y quieren sacarse en clavo de esta temporada Jajajajaja ,total siempre postean cosas de ese equipo a favor y en contra del barca chupalo.",0.0,0.0,0.0,0.5,0.0,0.0,0.5
@MrPortadas Imagínate los que escribe Pedrerol cuando el Barça de folla al Madrid en la razón...,0.5,0.0,0.0,0.0,0.0,0.0,0.5
"El Barça eliminó al PSG remontando un (4-0, nunca visto en la historia) por el árbitro. El Madrid elimina al PSG por la mística, el ADN y su orgullo. Los mismos que han ganado por 1gol en el 93 y otra a penaltis. 
Griezzman falló el penalti y Vidal el suyo por el ADN blanco 😂😂",0.0,0.0,0.0,0.0,1.0,0.0,0.0
"@GallardoX13 @TOTWprediccion Te repito, después de ganar al atleti y quitarles el invicto a la semana siguente no sacamos IF, lo mismo ha pasado con el madrid y con el barça",1.0,0.0,0.0,0.0,0.0,0.0,0.0
@jorgeshrug Me has visto alguna vez celebrando la realmadrididación extrema que está experimentando el Barça desde la llegada del puto mafias Rosell y su numero dos Nobita?,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"#BolitaPorfavorINFORMA: 📻💻⚽ 
Futbol Internacional (Messi)

Hoy se cumplen 17 años del debut de Lionel #Messi con el equipo juvenil del @FCBarcelona 

Ahora es el máximo goleador en la historia del club. https://t.co/uYkSiz81Bk",0.0,0.0,0.5,0.5,0.0,0.0,0.0
"@Juezcentral @Kauslu_ No pusieron los 5 al barca
AH NO PARAA",0.0,0.0,0.0,0.0,1.0,0.0,0.0
¡Me voy a ver un partidazo! ¡Participa ahora con #FútbolVipAppMiVodafone y gana 2 entradas VIP para el derbi entre el Real Madrid y el Atleti!  https://t.co/2kfjgOQz6J,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Iniesta inicia su plan en la Ciutat Esportiva para llegar al Barça-Chelsea @mundodeportivo https://t.co/KtYJpjFTIM,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"@IPradio Acaba de perder con Argentinos, empató con Alianza Lima pero podría ser CAMPEÓN Y SUPERAR AL BARCA, LA JUVE Y EL MAN U. Todo muy tranquilo.",1.0,0.0,0.0,0.0,0.0,0.0,0.0
@1899barsa Si pero el Madrid con Benzemalo y con el equipo B es capaz de tumbar a cualquier club de Europa simplemente por el miedo que los rivales le tienen y por el fútbol a la contra que hace sin embargo el barça se piensa demasiado las jugadas y eso a veces no sirve,0.0,0.0,1.0,0.0,0.0,0.0,0.0
@Eribert42354852 El Barca aparte de ganar eso ha dominado el fútbol. Nunca en la historia se había visto el fútbol que se jugo con Pep Guardiola.,0.0,0.0,0.0,0.5,0.5,0.0,0.0
El técnico de la Premier al que no le halaga sonar para el Barça #20m https://t.co/xmuVGPRzar,0.0,0.0,1.0,0.0,0.0,0.0,0.0
@LuisOmarTapia Se le salió la barcelonitis al madridista omar tapia. Lastima se le tenia mucho respeto. Un madridista más que solo ataca todo lo que tenga que ver con el presente o pasado del Barça .,0.0,0.5,0.0,0.0,0.0,0.0,0.5
"@wahou_wahou64 @jg_dominguez Soy más de motos... pero si, del barça. Usted camina mucho por mis tierras? Hoy me he cruzado con 17 críos en pocos minutos. Sólo una se expresaba en catalán, de verdad cree que está en peligro el castellano con la inmersión?",0.0,0.5,0.0,0.0,0.5,0.0,0.0
"@FOXSportsArg Disculpen ... pero esto se ve que es bien rioplatense, por no decir argentino ... Boca 30 % ? Con todo el respeto que me merece Boca, estan 3 goles abajo de la Juve ... y no quiero pensar cuantos abajo del Barca y el City !!!",0.5,0.0,0.0,0.0,0.5,0.0,0.0
Un inglés en el Barça 29 años después de Gary Lineker https://t.co/p2iL1pIKbM https://t.co/ARuCnGSVRo,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Víctor Claver, gustándose: El ala-pívot del Barça Lassa encuentra el camino libre hacia el aro y machaca plásticamente a una mano https://t.co/UCojKnj0qR",0.0,0.0,0.5,0.5,0.0,0.0,0.0
"¡TREMENDO! 🙌 La brutal exhibición de Koke en el rondo del entrenamiento. 💥⚽
#Atleti #UEL ➡️ https://t.co/QXtAAzb9Px https://t.co/971sGBX6GJ",0.0,0.0,0.0,1.0,0.0,0.0,0.0
@memescastilla @AsturianMemes ¿por qué @Espball va en una barca y en mitad del mar?,0.0,0.0,0.5,0.0,0.5,0.0,0.0
"@marcmarquez93 @3gerardpique @SergiRoberto10 @JordiAlba @miguelruizfcb @SChecoPerez @FCBarcelona Pobre Catalán!! Eres uno de esos del lazo Amarillo.
Qué tanto odian a España y al Rey.",0.0,0.0,0.0,0.0,0.0,0.0,1.0
@ALEX15vs @FCBarcelona_es @FCBarcelona Pero que te crees? Xk os sorprende lo de este tipo? Q te crees q es george clooney? Es 1 paleto de mierda d sevilla...,0.0,0.0,0.0,0.0,0.0,0.0,1.0
@Blogcelonista Entonces Arthur ya esta prácticamente cerrado porque se corre el rumor que no llegaron a ningún acuerdo y se regresan a Brazil hablan de negociaciones rotas y que van a negociar con algún otro club para mi es extraño ya que el propio jugador a hablado abiertamente del Barça,0.0,0.0,0.5,0.0,0.5,0.0,0.0
Abrirán otra vez la taquilla para las entradas del Barça vs Chelsea?@FCBarcelona_es  😭,0.0,1.0,0.0,0.0,0.0,0.0,0.0
@eSports_Barca @LitLegend_77,0.0,0.0,1.0,0.0,0.0,0.0,0.0
@FOXSoccer @TeamMessi @FCBarcelona Fox our barca cock suckers,0.5,0.0,0.0,0.0,0.0,0.0,0.5
